ID,Case Number,Date,Block,IUCR,Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Location
12583965,JF102303,1/3/2022 13:30,003XX E 76TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,TRUE,623,6,6,69,14,1179942,1854699,2022,1/10/2022 15:51,"(41.756565176, -87.616111074)"
12583949,JF102446,1/3/2022 17:15,021XX W 72ND PL,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,FALSE,FALSE,735,7,17,67,26,1163445,1856564,2022,1/10/2022 15:51,"(41.762044507, -87.676517323)"
12583314,JF101736,1/3/2022 1:49,024XX S ARCHER AVE,031A,ROBBERY,ARMED - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,914,9,11,60,3,1171749,1887900,2022,1/10/2022 15:51,"(41.84785572, -87.645162578)"
12584353,JF103119,1/3/2022 3:00,075XX S ESSEX AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,421,4,7,43,6,1194171,1855517,2022,1/10/2022 15:51,"(41.758472475, -87.563938551)"
12584669,JF102858,1/3/2022 12:53,044XX S TRUMBULL AVE,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,821,8,14,58,6,1154121,1875045,2022,1/10/2022 15:51,"(41.812949384, -87.710200316)"
12583999,JF102631,1/3/2022 19:45,067XX S SANGAMON ST,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,FALSE,FALSE,723,7,6,68,04B,1171136,1860240,2022,1/10/2022 15:51,"(41.771967298, -87.648221547)"
12585192,JF103467,1/3/2022 11:00,021XX N ALBANY AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,1414,14,32,22,5,1155178,1913925,2022,1/10/2022 15:51,"(41.919619187, -87.70527981)"
12583702,JF102308,1/3/2022 12:00,017XX N DAMEN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1434,14,32,24,7,1162756,1911387,2022,1/10/2022 15:51,"(41.912499075, -87.67750843)"
12584073,JF102745,1/3/2022 22:02,001XX N DESPLAINES ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,FALSE,121,1,42,28,26,1171897,1901406,2022,1/10/2022 15:51,"(41.884913923, -87.644221525)"
12584093,JF102738,1/3/2022 20:00,045XX N MAGNOLIA AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,1913,19,46,3,08A,1167101,1930303,2022,1/10/2022 15:51,"(41.964313223, -87.661001082)"
12583268,JF101709,1/3/2022 0:50,061XX S EBERHART AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,313,3,20,42,08A,1180638,1864334,2022,1/10/2022 15:51,"(41.782988644, -87.613264765)"
12584513,JF102387,1/3/2022 15:00,022XX E 84TH ST,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,412,4,7,46,6,1192496,1849714,2022,1/10/2022 15:51,"(41.7425895, -87.570265788)"
12583764,JF102445,1/3/2022 13:00,026XX S TROY ST,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,1033,10,12,30,6,1155786,1886279,2022,1/10/2022 15:51,"(41.843743589, -87.703791035)"
12583799,JF102474,1/3/2022 17:00,041XX S PULASKI RD,820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,815,8,14,57,6,1150366,1876794,2022,1/10/2022 15:51,"(41.817822779, -87.72392842)"
12586131,JF104724,1/3/2022 13:00,0000X E JACKSON BLVD,870,THEFT,POCKET-PICKING,RESTAURANT,FALSE,FALSE,113,1,4,32,6,1176648,1899008,2022,1/10/2022 15:51,"(41.878227661, -87.626847784)"
12584264,JF102994,1/3/2022 15:00,012XX N ARTESIAN AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1423,14,26,24,6,1159852,1908071,2022,1/10/2022 15:51,"(41.903460148, -87.688268581)"
